食物,热量,连接
瓦罐鸡汤（含料）,热量：190 大卡(每100克),http://www.boohee.com/food/group/2?page=2/shiwu/waguanjitang_rou
瓦罐鸡汤（无料）,热量：27 大卡(每100克),http://www.boohee.com/food/group/2?page=2/shiwu/waguanjitang_tang
猪小排（良杂猪）,热量：351 大卡(每100克),http://www.boohee.com/food/group/2?page=2/shiwu/zhuxiaopai_liangzazhu
松花蛋(鸡蛋)，又叫皮蛋、变蛋、彩蛋、碱蛋、泥蛋,热量：178 大卡(每100克),http://www.boohee.com/food/group/2?page=3/shiwu/songhuadan_jidan
猪肉(奶脯)，又叫软五花、奶脯、五花肉,热量：349 大卡(每100克),http://www.boohee.com/food/group/2?page=3/shiwu/zhurou_naifu
猪大排，又叫猪排,热量：264 大卡(每100克),http://www.boohee.com/food/group/2?page=3/shiwu/zhudapai
牛肉(肥瘦)，又叫肥牛,热量：125 大卡(每100克),http://www.boohee.com/food/group/2?page=3/shiwu/niurou_feishou
牛肉(里脊)，又叫牛里脊,热量：107 大卡(每100克),http://www.boohee.com/food/group/2?page=3/shiwu/niurou_liji
松花蛋(鸭蛋)，又叫皮蛋,热量：171 大卡(每100克),http://www.boohee.com/food/group/2?page=3/shiwu/songhuadan_yadan
草鱼，又叫鲩鱼、混子、草鲩、草包鱼、草根鱼、草青、白鲩,热量：113 大卡(每100克),http://www.boohee.com/food/group/2?page=3/shiwu/caoyu
鸡蛋(土鸡),热量：138 大卡(每100克),http://www.boohee.com/food/group/2?page=3/shiwu/jidan_tuji
鸡蛋（白皮）,热量：138 大卡(每100克),http://www.boohee.com/food/group/2?page=3/shiwu/jidan_baipi
鸡蛋(红皮),热量：156 大卡(每100克),http://www.boohee.com/food/group/2?page=3/shiwu/jidan_hongpi
酸奶,热量：72 大卡(每100毫升),http://www.boohee.com/food/group/3?page=1/shiwu/suannai_junzhi
全脂牛奶，又叫纯牛奶，牛乳,热量：54 大卡(每100毫升),http://www.boohee.com/food/group/3?page=1/shiwu/niuru_junzhi
奶酪，又叫乳酪、芝士、起司、计司,热量：328 大卡(每100克),http://www.boohee.com/food/group/3?page=1/shiwu/nailao
酸奶（中脂）,热量：64 大卡(每100毫升),http://www.boohee.com/food/group/3?page=1/shiwu/suannai_zhongzhi
酸奶（脱脂）,热量：57 大卡(每100毫升),http://www.boohee.com/food/group/3?page=1/shiwu/suannai_tuozhi
脱脂奶粉,热量：356 大卡(每100克),http://www.boohee.com/food/group/3?page=1/shiwu/tuozhinaifen
酸奶（调味）,热量：88 大卡(每100毫升),http://www.boohee.com/food/group/3?page=1/shiwu/suannai_diaowei
光明 鲜牛奶，又叫光明鲜奶、光明牛奶,热量：60 大卡(每100毫升),http://www.boohee.com/food/group/3?page=1/shiwu/niuru_guangmingpai
酸奶(果料)，又叫果料酸奶,热量：67 大卡(每100毫升),http://www.boohee.com/food/group/3?page=1/shiwu/suannai_guoliao
酸奶（果粒）,热量：97 大卡(每100毫升),http://www.boohee.com/food/group/3?page=1/shiwu/suannai_guoli
蒙牛 高钙牛奶,热量：59 大卡(每100毫升),http://www.boohee.com/food/group/3?page=2/shiwu/mengniugaogainiunai
脱脂牛奶，又叫脱脂奶,热量：33 大卡(每100毫升),http://www.boohee.com/food/group/3?page=2/shiwu/niuru_tuozhi_pamalate
光明 e+益生菌酸牛奶（原味）220ml （袋装）,热量：45 大卡(每100克),http://www.boohee.com/food/group/3?page=2/shiwu/guangmingeyishengjunsuanniunai_yuanwei
低脂牛奶，又叫低脂奶 脱脂奶,热量：43 大卡(每100毫升),http://www.boohee.com/food/group/3?page=2/shiwu/niuru_bufentuozhi_pamalate
早餐奶,热量：68 大卡(每100克),http://www.boohee.com/food/group/3?page=2/shiwu/zaocannai
酸奶（高蛋白）,热量：62 大卡(每100毫升),http://www.boohee.com/food/group/3?page=2/shiwu/suannai_gaodanbai
奶片,热量：472 大卡(每100克),http://www.boohee.com/food/group/3?page=2/shiwu/naipian
全脂牛奶粉,热量：478 大卡(每100克),http://www.boohee.com/food/group/3?page=2/shiwu/quanzhiniunaifen
光明 纯牛奶，又叫光明牛奶,热量：66 大卡(每100毫升),http://www.boohee.com/food/group/3?page=2/shiwu/fded1a79
光明 优倍 高品质鲜牛奶,热量：65 大卡(每100毫升),http://www.boohee.com/food/group/3?page=2/shiwu/fd962a6c
光明 优倍 0脂肪 高品质脱脂鲜牛奶,热量：35 大卡(每100毫升),http://www.boohee.com/food/group/3?page=3/shiwu/fd460d85
光明 优倍 0乳糖 巴士杀菌调制乳,热量：67 大卡(每100毫升),http://www.boohee.com/food/group/3?page=3/shiwu/fdb14fc7
光明 致优 全鲜乳,热量：63 大卡(每100毫升),http://www.boohee.com/food/group/3?page=3/shiwu/fdb47466
光明 0脂肪 鲜牛奶,热量：32 大卡(每100毫升),http://www.boohee.com/food/group/3?page=3/shiwu/fd458bc8
牛奶(强化VA，VD)，又叫牛乳(强化VA，VD),热量：51 大卡(每100毫升),http://www.boohee.com/food/group/3?page=3/shiwu/niuru_qianghuaVA_VD
光明 低脂牛奶,热量：43 大卡(每100毫升),http://www.boohee.com/food/group/3?page=3/shiwu/guangmingdizhiniunai
蒙牛 木糖醇酸牛奶,热量：63 大卡(每100克),http://www.boohee.com/food/group/3?page=3/shiwu/mengniusuanniunaimutangchun
低脂奶酪,热量：241 大卡(每100克),http://www.boohee.com/food/group/3?page=3/shiwu/dizhinailao
伊利 无蔗糖酸牛奶（利乐包）150g,热量：52 大卡(每100毫升),http://www.boohee.com/food/group/3?page=3/shiwu/yiliwuzhetangsuanniunai
蒙牛 酸牛奶（草莓+树莓）100g （小盒装）,热量：92 大卡(每100克),http://www.boohee.com/food/group/3?page=3/shiwu/mengniusuanniunai_caomeishumeiguoli
牛肉面，又叫兰州拉面,热量：119 大卡(每100克),http://www.boohee.com/food/view_menu?page=1/shiwu/niuroumian
炒上海青，又叫炒青菜,热量：27 大卡(每100克),http://www.boohee.com/food/view_menu?page=1/shiwu/chaoqingcai
番茄炒蛋，又叫番茄炒鸡蛋、西红柿炒蛋、西红柿炒鸡蛋,热量：94 大卡(每100克),http://www.boohee.com/food/view_menu?page=1/shiwu/fanqiechaodan
